userId,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
160c52d9-fb17-4d67-a2af-6bed345f7ca5,30.0,17.0,9.0,26.0,20.0
22b19e79-5822-46f9-8e3f-7e55e751f9dc,31.0,16.0,9.0,37.0,30.0
237aac1b-4d6f-4ca9-9e4f-30719ea5967d,36.0,15.0,17.0,25.0,32.0
2617b0f9-026b-469b-a7ed-2489f37e3e5f,36.0,16.0,12.0,24.0,21.0
2bf33509-f117-49b9-98fb-89cdaab60408,32.0,13.0,9.0,29.0,24.0
2d0cd3c8-768f-4578-9d70-929e873abb29,27.0,16.0,14.0,29.0,27.0
2de604dc-68f7-45b7-ad0b-ad1a63a2fc0b,0.0,0.0,0.0,0.0,2.0
32803480-6b17-4d83-81b2-4684e033b9d2,22.0,23.0,17.0,23.0,17.0
3839d397-dd9b-40f8-9a24-fdedae5812fc,0.0,0.0,0.0,0.0,1.0
3ed8a159-adb0-4380-a648-e015cb82690a,32.0,15.0,19.0,25.0,33.0
4e6e7fc1-fe03-41d5-8f02-0766a377bf31,33.0,12.0,5.0,27.0,30.0
54c3318f-57ef-47a4-bc51-7b470e476e7d,27.0,20.0,21.0,31.0,29.0
5bda4ade-431a-47ef-a62c-7bd895ece820,15.0,22.0,13.0,24.0,36.0
5cf29ca0-65ad-45df-94af-1d625c45ed74,29.0,9.0,14.0,34.0,28.0
8d8a3d15-4058-4e07-8ac6-2089f7f4c459,33.0,16.0,18.0,33.0,33.0
8dd27193-ae74-42ce-913f-c400bddcb4e8,23.0,17.0,12.0,32.0,34.0
956f51a8-d6a0-4a12-a22b-9da3cdffc879,34.0,18.0,8.0,30.0,31.0
a79d7ff7-ed5e-4e8a-be4e-5b0b2c230d83,28.0,19.0,12.0,41.0,25.0
b650347b-cdaf-4248-bd63-7c16ace78286,31.0,20.0,11.0,20.0,35.0
bab047ff-e121-494a-855b-62fc714e0300,23.0,24.0,11.0,23.0,29.0
c929fc99-3407-4e67-b9bb-fe19745c61b8,23.0,12.0,15.0,28.0,37.0
c97b6d89-23b9-4216-af10-e22d6c44f1d1,27.0,13.0,9.0,20.0,31.0
d0a188a3-e24e-4772-95f7-07e59ce8885e,32.0,11.0,16.0,29.0,33.0
d4af0657-f9db-40ff-babd-68681db7ddeb,30.0,10.0,13.0,30.0,26.0
d7fbb0db-1929-4140-9b64-58d1659d9b3e,25.0,14.0,7.0,32.0,32.0
d84bdd45-4ff2-41bc-9641-69ec3089175b,26.0,16.0,5.0,21.0,24.0
d97a07eb-8dd9-4cbe-a4c4-8c61017ada71,25.0,13.0,10.0,26.0,21.0
da3466ac-984a-4a19-af87-f28e4d76cf1f,27.0,16.0,12.0,28.0,37.0
da35e508-de86-44f7-b7bf-ebffd85a3b5c,27.0,15.0,11.0,28.0,27.0
f0220d43-513a-4619-973d-4ed84a42bf6a,30.0,20.0,10.0,27.0,34.0
f63ae87c-32e3-471e-99ff-feb60ec50760,24.0,18.0,10.0,39.0,20.0
fa975c93-78ec-49c6-b60f-e70435f18c34,33.0,18.0,13.0,22.0,35.0
fd966d82-9b94-4565-a3a6-ce3df23f69a8,20.0,14.0,10.0,28.0,30.0
