userId,startedAt,formatText
956f51a8-d6a0-4a12-a22b-9da3cdffc879,2025-06-19T15:25:41,"우리 아이는 2025-06-19T15:25:41부터 다음과 같은 투자 활동을 했습니다:
- avgStayTime 항목의 값은 6.833333333333333입니다.
- avgStayTimeMean 항목의 값은 22.88888888888889입니다.
- tagAvgStayTime 항목의 값은 6.0입니다.
- tagAvgStayTimeMean 항목의 값은 24.166666입니다.
- highBuyRatio 항목의 값은 0.3333333333333333입니다.
- lowBuyRatio 항목의 값은 0.4166666666666667입니다.
- midBuyRatio 항목의 값은 0.25입니다.
- highBuyRatioMean 항목의 값은 0.3143939393939394입니다.
- midBuyRatioMean 항목의 값은 0.3143939393939394입니다.
- lowBuyRatioMean 항목의 값은 0.3712121212121211입니다.
- highSellRatio 항목의 값은 0.0입니다.
- lowSellRatio 항목의 값은 0.0입니다.
- midSellRatio 항목의 값은 1.0입니다.
- highSellRatioMean 항목의 값은 0.3333333333333333입니다.
- midSellRatioMean 항목의 값은 0.6666666666666666입니다.
- lowSellRatioMean 항목의 값은 0.0입니다.
- highRatio_age 항목의 값은 0.3143939393939394입니다.
- midRatio_age 항목의 값은 0.3143939393939394입니다.
- lowRatio_age 항목의 값은 0.3712121212121211입니다.
- Type 항목의 값은 Buy입니다.
- MyhighRatioMean 항목의 값은 0.3143939393939394입니다.
- MymidRatioMean 항목의 값은 0.3143939393939394입니다.
- MylowRatioMean 항목의 값은 0.3712121212121211입니다.
- betBuyRatio 항목의 값은 0.5입니다.
- betBuyRatioMean 항목의 값은 0.6666666666666666입니다.
- betSellRatio 항목의 값은 0.0입니다.
- betSellRatioMean 항목의 값은 0.3333333333333333입니다.
- avgCashRatio 항목의 값은 0.9214333333333334입니다.
- avgCashRatioMean 항목의 값은 0.8927222222222223입니다."
956f51a8-d6a0-4a12-a22b-9da3cdffc879,2025-06-19T15:23:09,"우리 아이는 2025-06-19T15:23:09부터 다음과 같은 투자 활동을 했습니다:
- avgStayTime 항목의 값은 19.83333333333333입니다.
- avgStayTimeMean 항목의 값은 22.88888888888889입니다.
- tagAvgStayTime 항목의 값은 23.25입니다.
- tagAvgStayTimeMean 항목의 값은 24.166666입니다.
- highBuyRatio 항목의 값은 0.3181818181818182입니다.
- lowBuyRatio 항목의 값은 0.3636363636363636입니다.
- midBuyRatio 항목의 값은 0.3181818181818182입니다.
- highBuyRatioMean 항목의 값은 0.3143939393939394입니다.
- midBuyRatioMean 항목의 값은 0.3143939393939394입니다.
- lowBuyRatioMean 항목의 값은 0.3712121212121211입니다.
- highSellRatio 항목의 값은 0.0입니다.
- lowSellRatio 항목의 값은 0.0입니다.
- midSellRatio 항목의 값은 1.0입니다.
- highSellRatioMean 항목의 값은 0.3333333333333333입니다.
- midSellRatioMean 항목의 값은 0.6666666666666666입니다.
- lowSellRatioMean 항목의 값은 0.0입니다.
- highRatio_age 항목의 값은 0.3143939393939394입니다.
- midRatio_age 항목의 값은 0.3143939393939394입니다.
- lowRatio_age 항목의 값은 0.3712121212121211입니다.
- Type 항목의 값은 Buy입니다.
- MyhighRatioMean 항목의 값은 0.3143939393939394입니다.
- MymidRatioMean 항목의 값은 0.3143939393939394입니다.
- MylowRatioMean 항목의 값은 0.3712121212121211입니다.
- betBuyRatio 항목의 값은 0.5입니다.
- betBuyRatioMean 항목의 값은 0.6666666666666666입니다.
- betSellRatio 항목의 값은 1.0입니다.
- betSellRatioMean 항목의 값은 0.3333333333333333입니다.
- avgCashRatio 항목의 값은 0.81275입니다.
- avgCashRatioMean 항목의 값은 0.8927222222222223입니다."
956f51a8-d6a0-4a12-a22b-9da3cdffc879,2025-06-19T15:12:09,"우리 아이는 2025-06-19T15:12:09부터 다음과 같은 투자 활동을 했습니다:
- avgStayTime 항목의 값은 42.0입니다.
- avgStayTimeMean 항목의 값은 22.88888888888889입니다.
- tagAvgStayTime 항목의 값은 43.25입니다.
- tagAvgStayTimeMean 항목의 값은 24.166666입니다.
- highBuyRatio 항목의 값은 0.2916666666666667입니다.
- lowBuyRatio 항목의 값은 0.3333333333333333입니다.
- midBuyRatio 항목의 값은 0.375입니다.
- highBuyRatioMean 항목의 값은 0.3143939393939394입니다.
- midBuyRatioMean 항목의 값은 0.3143939393939394입니다.
- lowBuyRatioMean 항목의 값은 0.3712121212121211입니다.
- highSellRatio 항목의 값은 1.0입니다.
- lowSellRatio 항목의 값은 0.0입니다.
- midSellRatio 항목의 값은 0.0입니다.
- highSellRatioMean 항목의 값은 0.3333333333333333입니다.
- midSellRatioMean 항목의 값은 0.6666666666666666입니다.
- lowSellRatioMean 항목의 값은 0.0입니다.
- highRatio_age 항목의 값은 0.3143939393939394입니다.
- midRatio_age 항목의 값은 0.3143939393939394입니다.
- lowRatio_age 항목의 값은 0.3712121212121211입니다.
- Type 항목의 값은 Buy입니다.
- MyhighRatioMean 항목의 값은 0.3143939393939394입니다.
- MymidRatioMean 항목의 값은 0.3143939393939394입니다.
- MylowRatioMean 항목의 값은 0.3712121212121211입니다.
- betBuyRatio 항목의 값은 1.0입니다.
- betBuyRatioMean 항목의 값은 0.6666666666666666입니다.
- betSellRatio 항목의 값은 0.0입니다.
- betSellRatioMean 항목의 값은 0.3333333333333333입니다.
- avgCashRatio 항목의 값은 0.9439833333333334입니다.
- avgCashRatioMean 항목의 값은 0.8927222222222223입니다."
